customer,st,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
RB50392,Washington,Unknown,Master,588174,0,1000,0,Personal Auto,Four-Door Car,2
QZ44356,Arizona,F,Bachelor,697953,0,94,0,Personal Auto,Four-Door Car,1131
AI49188,Nevada,F,Bachelor,1288743,48767,108,0,Personal Auto,Two-Door Car,566
WW63253,California,M,Bachelor,764586,0,106,0,Corporate Auto,SUV,529
GA49547,Washington,M,High School or Below,536307,36357,68,0,Personal Auto,Four-Door Car,17
OC83172,Oregon,F,Bachelor,825629,62902,69,0,Personal Auto,Two-Door Car,159
XZ87318,Oregon,F,College,538089,55350,67,0,Corporate Auto,Four-Door Car,321
CF85061,Arizona,M,Master,721610,0,101,0,Corporate Auto,Four-Door Car,363
DY87989,Oregon,M,Bachelor,2412750,14072,71,0,Corporate Auto,Four-Door Car,511
BQ94931,Oregon,F,College,738817,28812,93,0,Special Auto,Four-Door Car,425
SX51350,California,M,College,473899,0,67,0,Personal Auto,Four-Door Car,482
VQ65197,California,Unknown,College,819719,0,110,0,Personal Auto,SUV,528
DP39365,California,Unknown,Master,879879,77026,110,2,Corporate Auto,Four-Door Car,472
SJ95423,Arizona,Unknown,High School or Below,881901,99845,110,1,Corporate Auto,SUV,528
IL66569,California,Unknown,College,538443,83689,70,2,Corporate Auto,Four-Door Car,307
BW63560,Oregon,Unknown,Bachelor,746313,24599,64,1,Corporate Auto,Four-Door Car,42
FV94802,Nevada,Unknown,High School or Below,256686,25049,67,0,Personal Auto,Two-Door Car,454
OE15005,California,Unknown,College,394524,28855,101,0,Personal Auto,SUV,647
WC83389,Oregon,Unknown,College,571033,51148,72,0,Personal Auto,Four-Door Car,308
FL50705,California,Unknown,High School or Below,816261,66140,101,0,Corporate Auto,Four-Door Car,484
ZK25313,Oregon,Unknown,High School or Below,287205,57749,74,0,Personal Auto,Two-Door Car,355
QK46697,Washington,M,Bachelor,617710,61040,79,1,Personal Auto,Two-Door Car,20
YH23384,Arizona,Unknown,Bachelor,2412750,14072,71,0,Personal Auto,Four-Door Car,511
TZ98966,Nevada,Unknown,Bachelor,245019,0,73,3,Corporate Auto,Four-Door Car,554
HM55802,California,Unknown,Bachelor,239210,17870,61,0,Corporate Auto,Four-Door Car,439
FS42516,Oregon,Unknown,College,580206,97541,72,0,Personal Auto,Four-Door Car,389
US89481,California,Unknown,Bachelor,394637,0,111,0,Personal Auto,Four-Door Car,799
HS14476,Washington,M,College,916206,29723,80,0,Personal Auto,Four-Door Car,20
GE62437,Arizona,Unknown,College,1290256,86584,111,2,Personal Auto,Four-Door Car,532
EJ77678,Oregon,Unknown,Master,323536,75690,80,1,Personal Auto,Four-Door Car,384
SV85652,Arizona,Unknown,College,245458,23158,63,1,Personal Auto,Four-Door Car,322
UL64533,Nevada,Unknown,High School or Below,1897545,65999,237,0,Corporate Auto,Luxury,615
PF41800,California,Unknown,Bachelor,471532,0,65,0,Personal Auto,Four-Door Car,308
HD95276,Washington,F,College,473787,0,130,0,Personal Auto,SUV,23
SK67821,Oregon,Unknown,Bachelor,493291,37260,62,0,Corporate Auto,Four-Door Car,15
YV55495,Arizona,Unknown,High School or Below,574422,68987,71,0,Personal Auto,Four-Door Car,204
KY38074,California,Unknown,Bachelor,1389173,42305,117,0,Personal Auto,Four-Door Car,561
DM79012,Oregon,Unknown,Master,738097,65706,91,0,Personal Auto,Four-Door Car,436
CM61827,Oregon,Unknown,Bachelor,309003,0,90,0,Personal Auto,Two-Door Car,648
WC35801,Arizona,Unknown,High School or Below,252163,53243,66,2,Personal Auto,Four-Door Car,157
QG25316,Nevada,Unknown,High School or Below,265206,0,70,1,Corporate Auto,Two-Door Car,484
MB98372,Oregon,Unknown,College,277104,50071,71,0,Corporate Auto,Two-Door Car,18
IL19217,California,Unknown,Bachelor,393900,60021,99,0,Personal Auto,Four-Door Car,882
SR38658,Arizona,Unknown,High School or Below,1223187,43244,103,0,Personal Auto,Luxury,494
YD87931,Washington,M,Doctor,495165,46896,35354,1,Personal Auto,Four-Door Car,31
HG65722,Oregon,Unknown,Doctor,1281910,10105,172,3,Personal Auto,SUV,0
BU27331,Arizona,Unknown,Bachelor,446851,0,73,3,Personal Auto,Four-Door Car,579
XM45289,Oregon,Unknown,High School or Below,551434,23218,71,0,Personal Auto,Two-Door Car,447
KP34198,California,Unknown,Bachelor,334387,0,92,0,Corporate Auto,Four-Door Car,529
SH90947,Arizona,Unknown,High School or Below,229447,0,62,0,Personal Auto,Four-Door Car,313
WE95729,Oregon,Unknown,College,3670742,24804,104,0,Personal Auto,SUV,593
PY51963,California,Unknown,Bachelor,3347334,33190,106,0,Corporate Auto,SUV,508
RB69909,Nevada,Unknown,High School or Below,798343,36014,69,3,Special Auto,Four-Door Car,173
NW21079,Washington,F,Master,487938,67163,61,2,Personal Auto,Two-Door Car,33
FR46645,California,Unknown,Bachelor,429399,16701,113,0,Personal Auto,Four-Door Car,831
SY17488,Arizona,Unknown,College,716439,46623,91,0,Corporate Auto,Four-Door Car,436
AP67935,California,Unknown,College,761951,64749,64,0,Special Auto,Four-Door Car,302
FS37417,Arizona,Unknown,High School or Below,395800,0,101,0,Personal Auto,SUV,484
ML29312,Oregon,Unknown,High School or Below,449949,16969,124,2,Personal Auto,SUV,704
UB61619,Oregon,Unknown,Master,405956,11621,108,0,Personal Auto,Four-Door Car,518
CD86811,Arizona,Unknown,Bachelor,445811,17622,65,1,Personal Auto,Four-Door Car,312
RU83859,California,Unknown,Bachelor,811033,11489,105,0,Personal Auto,Two-Door Car,504
FG63582,Oregon,Unknown,Bachelor,333976,0,94,0,Personal Auto,Two-Door Car,863
NN71951,California,Unknown,High School or Below,2426101,66525,100,0,Personal Auto,SUV,104
WB37082,Arizona,Unknown,Bachelor,661397,0,63,0,Personal Auto,Four-Door Car,676
SM52139,Washington,Unknown,College,293069,33663,73,0,Personal Auto,Four-Door Car,350
FL82372,Oregon,Unknown,College,867219,22547,112,0,Corporate Auto,SUV,537
DP45816,Arizona,Unknown,High School or Below,1163866,61486,97,0,Personal Auto,Two-Door Car,465
GW33762,Oregon,Unknown,Bachelor,684615,0,95,0,Personal Auto,Two-Door Car,456
RZ33670,California,Unknown,College,1172777,29879,102,0,Personal Auto,Four-Door Car,500
PY70169,Oregon,Unknown,High School or Below,2264383,93011,113,0,Personal Auto,SUV,281
MO91628,Oregon,Unknown,Master,261447,65186,65,0,Personal Auto,Two-Door Car,5
HW87852,Oregon,Unknown,Master,245175,26840,64,2,Personal Auto,Four-Door Car,307
HB20453,Oregon,Unknown,Bachelor,678127,0,104,1,Personal Auto,Luxury,982
BN87372,Oregon,Unknown,Bachelor,497480,75644,65,3,Personal Auto,Two-Door Car,467
YX23800,Oregon,Unknown,Bachelor,859160,38984,73,0,Personal Auto,Four-Door Car,350
DZ87709,Oregon,Unknown,High School or Below,559216,71811,71,0,Personal Auto,Four-Door Car,29
XW13033,Nevada,Unknown,College,800947,20961,67,0,Personal Auto,Four-Door Car,321
SP81997,Washington,F,Master,588174,41275,96,0,Personal Auto,Four-Door Car,41
OM82309,California,Unknown,Bachelor,5816655,61321,186,1,Personal Auto,Luxury,427
ZU35962,California,Unknown,College,802522,0,77,0,Personal Auto,Two-Door Car,25
VH85817,California,Unknown,High School or Below,578018,51066,74,0,Personal Auto,Four-Door Car,787
DT85712,California,Unknown,Doctor,411853,34378,102,0,Personal Auto,SUV,489
YJ88573,Nevada,Unknown,Master,252307,43072,63,0,Personal Auto,Four-Door Car,302
SQ19467,Oregon,Unknown,College,655421,25222,90,0,Personal Auto,Four-Door Car,475
YB66933,Washington,F,Bachelor,538275,77552,68,1,Corporate Auto,Four-Door Car,45
ET79815,California,Unknown,College,592672,23091,96,5,Personal Auto,Four-Door Car,460
QC35222,California,Unknown,Bachelor,268347,48269,69,3,Corporate Auto,Four-Door Car,282
CJ15590,Oregon,Unknown,Bachelor,269518,32720,67,0,Personal Auto,Four-Door Car,321
OI48267,California,Unknown,College,604702,20396,76,1,Personal Auto,Four-Door Car,364
JY67916,Oregon,Unknown,College,1317101,21513,119,1,Personal Auto,Two-Door Car,679
OW15518,Washington,F,College,1595001,0,87,1,Personal Auto,Two-Door Car,46
